codigo_ibge,idh,idh_ano,fonte
1200401,0.727,2010,Atlas DH / Ipeadata (Censo 2010)
2704302,0.721,2010,Atlas DH / Ipeadata (Censo 2010)
1600303,0.733,2010,Atlas DH / Ipeadata (Censo 2010)
1302603,0.737,2010,Atlas DH / Ipeadata (Censo 2010)
2927408,0.759,2010,Atlas DH / Ipeadata (Censo 2010)
2304400,0.754,2010,Atlas DH / Ipeadata (Censo 2010)
5300108,0.824,2010,Atlas DH / Ipeadata (Censo 2010)
3205309,0.845,2010,Atlas DH / Ipeadata (Censo 2010)
5208707,0.799,2010,Atlas DH / Ipeadata (Censo 2010)
2111300,0.768,2010,Atlas DH / Ipeadata (Censo 2010)
5103403,0.785,2010,Atlas DH / Ipeadata (Censo 2010)
5002704,0.784,2010,Atlas DH / Ipeadata (Censo 2010)
3106200,0.810,2010,Atlas DH / Ipeadata (Censo 2010)
1501402,0.746,2010,Atlas DH / Ipeadata (Censo 2010)
2507507,0.763,2010,Atlas DH / Ipeadata (Censo 2010)
4106902,0.823,2010,Atlas DH / Ipeadata (Censo 2010)
2611606,0.772,2010,Atlas DH / Ipeadata (Censo 2010)
2211001,0.751,2010,Atlas DH / Ipeadata (Censo 2010)
3304557,0.799,2010,Atlas DH / Ipeadata (Censo 2010)
2408102,0.763,2010,Atlas DH / Ipeadata (Censo 2010)
4314902,0.805,2010,Atlas DH / Ipeadata (Censo 2010)
1100205,0.736,2010,Atlas DH / Ipeadata (Censo 2010)
1400100,0.752,2010,Atlas DH / Ipeadata (Censo 2010)
4205407,0.847,2010,Atlas DH / Ipeadata (Censo 2010)
2800308,0.770,2010,Atlas DH / Ipeadata (Censo 2010)
3550308,0.805,2010,Atlas DH / Ipeadata (Censo 2010)
1721000,0.788,2010,Atlas DH / Ipeadata (Censo 2010)
3303906,0.745,2010,Atlas DH / Ipeadata (Censo 2010)
3303401,0.745,2010,Atlas DH / Ipeadata (Censo 2010)
3305802,0.730,2010,Atlas DH / Ipeadata (Censo 2010)
3550704,0.772,2010,Atlas DH / Ipeadata (Censo 2010)
3300100,0.724,2010,Atlas DH / Ipeadata (Censo 2010)
4202404,0.806,2010,Atlas DH / Ipeadata (Censo 2010)
1504208,0.668,2010,Atlas DH / Ipeadata (Censo 2010)
3143906,0.734,2010,Atlas DH / Ipeadata (Censo 2010)
2914802,0.712,2010,Atlas DH / Ipeadata (Censo 2010)
2913606,0.690,2010,Atlas DH / Ipeadata (Censo 2010)
4316907,0.784,2010,Atlas DH / Ipeadata (Censo 2010)
3109006,0.747,2010,Atlas DH / Ipeadata (Censo 2010)
2602902,0.686,2010,Atlas DH / Ipeadata (Censo 2010)
4318903,0.741,2010,Atlas DH / Ipeadata (Censo 2010)
3201506,0.746,2010,Atlas DH / Ipeadata (Censo 2010)
1702109,0.752,2010,Atlas DH / Ipeadata (Censo 2010)
1400233,0.639,2010,Atlas DH / Ipeadata (Censo 2010)
2604106,0.677,2010,Atlas DH / Ipeadata (Censo 2010)
2407104,0.640,2010,Atlas DH / Ipeadata (Censo 2010)
2924009,0.674,2010,Atlas DH / Ipeadata (Censo 2010)
2806701,0.662,2010,Atlas DH / Ipeadata (Censo 2010)
5201108,0.737,2010,Atlas DH / Ipeadata (Censo 2010)
5208905,0.709,2010,Atlas DH / Ipeadata (Censo 2010)
5218805,0.754,2010,Atlas DH / Ipeadata (Censo 2010)
4302105,0.778,2010,Atlas DH / Ipeadata (Censo 2010)
4304606,0.750,2010,Atlas DH / Ipeadata (Censo 2010)
4104907,0.703,2010,Atlas DH / Ipeadata (Censo 2010)
4305108,0.782,2010,Atlas DH / Ipeadata (Censo 2010)
3200607,0.752,2010,Atlas DH / Ipeadata (Censo 2010)
3509502,0.805,2010,Atlas DH / Ipeadata (Censo 2010)
3138203,0.782,2010,Atlas DH / Ipeadata (Censo 2010)
3548708,0.805,2010,Atlas DH / Ipeadata (Censo 2010)
3549904,0.807,2010,Atlas DH / Ipeadata (Censo 2010)
3305505,0.709,2010,Atlas DH / Ipeadata (Censo 2010)
