codigo_ibge,escopo,populacao_area_afetada,domicilios_area_afetada,estabelecimentos_area_afetada,pct_populacao_municipio,pct_area_municipio,data_quality,fonte_ref
1200401,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2704302,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
1600303,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
1302603,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2927408,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2304400,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
5300108,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
3205309,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
5208707,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2111300,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
5103403,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
5002704,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
3106200,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
1501402,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2507507,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
4106902,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2611606,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2211001,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
3304557,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2408102,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
4314902,aplicavel,152258,85123,,,11.4,,parcial_lancamento_ibge,IBGE SINGED Lab — coletiva jun/2024
1100205,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
1400100,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
4205407,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2800308,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
3550308,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
1721000,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
3303906,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
3303401,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
3305802,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
3550704,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
3300100,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
4202404,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
1504208,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
3143906,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2914802,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2913606,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
4316907,aplicavel,,,,,,pendente_import,Importar CSV do portal IBGE SINGED Lab
3109006,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
2602902,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
4318903,aplicavel,,,,,,pendente_import,Importar CSV do portal IBGE SINGED Lab
3201506,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
1702109,nao_aplicavel,,,,,,nao_aplicavel,Produto pontual RS 2024 — fora do escopo geográfico
