idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
6146,BA,2927408,SALVADOR,Valéria,0,24/07/26 21:00,-,-,-,-,-,-,18.71,30.35,1,0
8706,BA,2927408,SALVADOR,Tancredo Neves,0,24/07/26 20:40,-,-,-,-,-,-,13,17.8,1,0
13563,BA,2927408,SALVADOR,Pau da Lima,0,15/03/24 21:10,-,-,-,-,-,-,-,-,10,0
13564,BA,2927408,SALVADOR,Jardim Nova Esperança,0,24/07/24 13:10,-,-,-,-,-,-,-,-,10,0
3682,BA,2927408,SALVADOR,CAB,0.2,07/06/26 22:10,-,-,-,-,-,-,-,-,1,0
13565,BA,2927408,SALVADOR,Pirajá - Oscar Seixas,0,01/02/25 16:20,-,-,-,-,-,-,-,-,10,0
6147,BA,2927408,SALVADOR,Nova Esperança,0,02/07/26 06:10,-,-,-,-,-,-,-,-,1,0
6145,BA,2927408,SALVADOR,Matatu,0.2,22/07/26 08:20,-,-,-,-,-,-,20.88,38.04,1,0
13560,BA,2927408,SALVADOR,Sete de Abril,0,24/07/26 20:10,-,-,-,-,-,-,26.6,39.2,10,0
3240,BA,2927408,SALVADOR,São Tomé de Paripe,0,24/07/26 20:50,-,-,-,-,-,-,2.36,2.36,1,0
8705,BA,2927408,SALVADOR,Fazenda Coutos,0,24/07/26 20:30,-,-,-,-,-,2.2,12.2,16.4,1,0
3242,BA,2927408,SALVADOR,Pirajá,0,24/07/26 20:40,-,-,-,-,-,-,14.57,28.93,1,0
8702,BA,2927408,SALVADOR,Itapuã,0,24/07/26 20:50,-,-,-,-,-,-,19.2,26,1,0
8703,BA,2927408,SALVADOR,Periperi,0,24/07/26 21:10,-,-,-,-,-,0.2,15.4,23.2,1,0
13559,BA,2927408,SALVADOR,Pernambués,0,12/06/24 18:30,-,-,-,-,-,-,-,-,10,0
13558,BA,2927408,SALVADOR,Doron,0,24/07/26 20:10,-,-,-,-,0.2,0.2,0.4,0.8,10,0
3241,BA,2927408,SALVADOR,Águas Claras,0,24/07/26 21:00,-,-,-,-,-,-,13.4,22.31,1,0
13571,BA,2927408,SALVADOR,Cajazeiras VIII,0,24/07/26 20:10,-,-,-,-,-,-,22,33,10,0
6144,BA,2927408,SALVADOR,Stiep,0,24/07/26 20:50,-,-,-,-,-,-,20.11,24.26,1,0
13428,BA,2927408,SALVADOR,Piatã,0,24/07/26 20:10,-,-,-,-,-,0.6,22.2,28.4,3,0
13572,BA,2927408,SALVADOR,Plataforma,0,24/07/26 20:10,-,-,-,-,-,0.2,15,27.4,10,0
3245,BA,2927408,SALVADOR,Centro,0.2,21/02/26 17:10,-,-,-,-,-,-,-,-,1,0
6143,BA,2927408,SALVADOR,São Caetano,0,24/07/26 20:40,-,-,-,-,-,0.2,0.4,0.6,1,0
3380,BA,2927408,SALVADOR,Cabula,0,24/07/26 20:20,-,-,-,-,-,-,11.8,16.19,1,0
13566,BA,2927408,SALVADOR,Cajazeiras VII,0,24/07/26 20:10,-,-,-,-,-,-,15.6,21.6,10,0
3683,BA,2927408,SALVADOR,Fazenda Grande do Retiro,0.2,23/07/26 13:50,-,-,-,-,-,0.2,0.4,0.6,1,0
3681,BA,2927408,SALVADOR,Federação,0,24/07/26 21:20,-,-,-,-,-,-,20.11,24.87,1,0
13561,BA,2927408,SALVADOR,Engenho Velho de Brotas,0,24/07/26 20:10,-,-,-,-,-,-,20.2,30.2,10,0
13567,BA,2927408,SALVADOR,Lapinha,0,15/11/23 00:10,-,-,-,-,-,-,-,-,10,0
13427,BA,2927408,SALVADOR,Boca do Rio,0,24/07/26 20:10,-,-,-,-,-,-,18.4,20.2,3,0
8704,BA,2927408,SALVADOR,Mussurunga,0,24/07/26 20:20,-,-,-,-,-,-,18.2,27,1,0
13910,BA,2927408,SALVADOR,Campinas de Pirajá,0,14/08/24 03:10,-,-,-,-,-,-,-,-,10,0
13569,BA,2927408,SALVADOR,Sete de Abril - Cambonas,0,10/07/25 19:10,-,-,-,-,-,-,-,-,10,0
13568,BA,2927408,SALVADOR,Brotas,1.2,15/06/26 11:00,-,-,-,-,-,-,-,-,10,0
13570,BA,2927408,SALVADOR,Novo Horizonte,0,12/09/25 05:00,-,-,-,-,-,-,-,-,10,0
3243,BA,2927408,SALVADOR,Rio Sena,0.2,22/07/26 08:30,-,-,-,-,-,-,13.6,27.64,1,0
3283,BA,2927408,SALVADOR,Monte Serrat,0.39,18/07/26 13:30,-,-,-,-,-,-,-,-,1,0
