idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
8313,BA,2918001,JEQUIÉ,JEQUIÉ,0,24/08/25 23:00,-,-,-,-,-,-,-,-,4,0
7934,BA,2901700,ANTÔNIO CARDOSO,ANTÔNIO CARDOSO,0,24/07/26 20:00,-,-,-,-,-,-,3,7.4,5,0
8856,BA,2930709,SIMÕES FILHO,Góes Calmon,0,24/07/26 21:10,-,-,-,-,-,-,11,24.8,1,0
17529,BA,2922607,NILO PEÇANHA,G2-292260702A,0,24/07/26 20:10,-,-,-,-,-,-,43.6,57,1,0
8249,BA,2919306,LENÇÓIS,LENÇOIS,0,29/09/21 13:00,-,-,-,-,-,-,-,-,5,0
7935,BA,2910800,FEIRA DE SANTANA,FEIRA DE SANTANA,0.6,03/03/26 18:50,-,-,-,-,-,-,-,-,4,0
7946,BA,2903003,BARRA DO MENDES,BARRA DO MENDES,6,20/01/24 23:40,-,-,-,-,-,-,-,-,5,0
3247,BA,2919207,LAURO DE FREITAS,Portão,0,24/07/26 20:50,-,-,-,-,-,-,-,78.6,1,0
8337,BA,2929370,SÃO JOSÉ DO JACUÍPE,SÃO JOSÉ DO JACUÍPE,0,27/03/26 06:00,-,-,-,-,-,-,-,-,5,0
17836,BA,2933505,WENCESLAU GUIMARÃES,G2-293350503A,0,24/07/26 20:10,-,-,-,0.2,0.2,0.4,42.8,45.6,1,0
7854,BA,2907707,CHORROCHÓ,CHORROCHÓ,0,24/07/26 20:00,-,-,-,-,-,-,-,-,5,0
7127,BA,2916500,ITAPICURU,ITAPICURU,0,24/07/26 20:00,-,-,-,-,-,-,-,-,5,0
17519,BA,2917300,ITUBERÁ,G2-291730001A,0,24/07/26 20:10,-,-,-,-,-,0.6,24.4,29.4,1,0
17515,BA,2913903,IPIAÚ,G2-291390302A,0,24/07/26 20:10,-,-,-,-,-,3,9,9,1,0
6426,BA,2933307,VITÓRIA DA CONQUISTA,Lomantão,0,24/07/26 21:10,-,-,-,-,-,0.2,1.4,1.4,1,0
6420,BA,2925303,PORTO SEGURO,Paraguai,0,17/06/26 01:00,-,-,-,-,-,-,-,-,1,0
17506,BA,2908606,CONDE,G2-290860601A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
17504,BA,2908606,CONDE,G2-290860603A,0.4,19/07/26 13:30,-,-,-,-,-,-,-,-,1,0
8233,BA,2904605,BRUMADO,BRUMADO,0,24/07/26 20:00,-,-,-,-,-,-,0.4,0.4,5,0
17541,BA,2932101,UBAÍRA,G2-293210101A,0,24/07/26 20:10,-,-,-,-,-,-,27.6,28.6,1,0
17833,BA,2909208,CORONEL JOÃO SÁ,G2-290920802A,0,24/07/26 19:10,-,-,-,-,-,-,-,-,1,0
8855,BA,2929008,SÃO FÉLIX,Centro,0,24/07/26 20:20,-,-,-,-,-,-,3.4,8.2,1,0
17540,BA,2932101,UBAÍRA,G2-293210102A,0,24/07/26 20:10,-,-,-,-,-,-,41.6,42.6,1,0
7144,BA,2931509,TEOFILÂNDIA,TEOFILÂNDIA,0.2,16/06/24 09:00,-,-,-,-,-,-,-,-,5,0
8270,BA,2913002,IBITIARA,IBITIARA,,,-,-,-,-,-,-,-,-,5,0
8264,BA,2906709,CÂNDIDO SALES,CÂNDIDO SALES,0,15/09/22 11:00,-,-,-,-,-,-,-,-,5,0
8254,BA,2916807,ITARANTIM,ITARANTIM,0,24/07/26 20:00,-,-,-,-,-,-,-,-,5,0
8247,BA,2904050,BONITO,BONITO,0,24/07/26 20:00,-,-,-,-,-,-,-,-,5,0
8838,BA,2904902,CACHOEIRA,Caquende,0,11/07/26 13:30,-,-,-,-,-,-,-,-,1,0
8231,BA,2910107,DOM BASÍLIO,DOM BASILIO,0,24/07/26 20:00,-,-,-,-,-,-,-,-,5,0
7933,BA,2900405,ÁGUA FRIA,ÁGUA FRIA,0,24/07/26 20:00,-,-,-,-,-,0.2,0.6,5.4,5,0
8853,BA,2928604,SANTO AMARO,Polivalente,0,24/07/26 21:00,-,-,-,-,0.2,2.6,5,15,1,0
8305,BA,2912509,IBIPITANGA,IBIPITANGA,0,26/04/25 11:00,-,-,-,-,-,-,-,-,5,0
8314,BA,2918357,JOÃO DOURADO,JOÃO DOURADO,0,24/07/26 20:00,-,-,-,-,-,-,-,-,5,0
6413,BA,2917102,ITORORÓ,Centro,0.2,24/07/26 12:40,-,-,-,0.2,0.2,0.4,1,1.2,1,0
6146,BA,2927408,SALVADOR,Valéria,0,24/07/26 21:00,-,-,-,-,-,-,18.71,30.35,1,0
17533,BA,2926301,RIACHÃO DO JACUÍPE,G2-292630101A,0,24/07/26 20:10,-,-,-,-,-,-,1.4,7.8,1,0
6141,BA,2919207,LAURO DE FREITAS,Jambeiro,0.2,21/07/26 12:50,-,-,-,-,-,-,-,0.79,1,0
7954,BA,2914604,IRECÊ,IRECÊ,0,24/07/26 18:00,-,-,-,-,-,-,-,-,5,0
8339,BA,2930303,SERRA DOURADA,SERRA DOURADA,0,27/12/16 17:50,-,-,-,-,-,-,-,-,5,0
8706,BA,2927408,SALVADOR,Tancredo Neves,0,24/07/26 20:40,-,-,-,-,-,-,13,17.8,1,0
7942,BA,2928307,SANTANÓPOLIS,SANTANÓPOLIS,0,19/08/21 16:00,-,-,-,-,-,-,-,-,5,0
8431,BA,2919009,LAJEDINHO,Centro,0,07/01/26 14:10,-,-,-,-,-,-,-,-,1,0
7147,BA,2933000,VALENTE,VALENTE,0,28/03/26 18:00,-,-,-,-,-,-,-,-,5,0
8237,BA,2904001,BONINAL,BONINAL,,,-,-,-,-,-,-,-,-,5,0
6137,BA,2906501,CANDEIAS,Malemba,0,24/07/26 20:40,-,-,-,-,-,-,5.34,14.21,1,0
8312,BA,2917607,JAGUAQUARA,JAGUAQUARA,0.2,22/07/26 12:50,-,-,-,-,-,-,4.4,4.8,5,0
6655,BA,2927705,SANTA CRUZ CABRÁLIA,Rio Buranhem,0.8,11/06/26 15:10,-,-,-,-,-,-,-,-,3,0
13563,BA,2927408,SALVADOR,Pau da Lima,0,15/03/24 21:10,-,-,-,-,-,-,-,-,10,0
17511,BA,2912103,IBICARAÍ,G2-291210302A,0,24/07/26 09:10,-,-,-,-,-,-,1.4,1.6,1,0
8263,BA,2915809,ITAMBÉ,ITAMBÉ,0,22/12/25 05:00,-,-,-,-,-,-,-,-,5,0
13564,BA,2927408,SALVADOR,Jardim Nova Esperança,0,24/07/24 13:10,-,-,-,-,-,-,-,-,10,0
7113,BA,2902104,ARACI,ARACI,0,23/07/26 01:00,-,-,-,-,-,-,-,3.6,4,0
7944,BA,2930402,SERRA PRETA,SERRA PRETA,0,24/07/26 18:00,-,-,-,-,-,-,0.2,0.2,5,0
6403,BA,2903409,BELMONTE,Centro,0,24/07/26 17:10,-,-,-,-,-,-,-,-,1,0
