idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
6517,PE,2609808,OROCÓ,Centro,0,12/11/25 18:20,-,-,-,-,-,-,-,-,1,0
6496,PE,2607208,IPOJUCA,Rurópolis,0,23/07/26 08:30,-,-,-,-,-,0.2,27.96,29.15,1,0
7775,PE,2602001,BODOCÓ,BODOCO,0,29/12/16 00:10,-,-,-,-,-,-,-,-,5,0
9034,PE,2611533,QUIXABA,QUIXABA - APAC,0,24/07/26 20:50,-,-,-,-,1,1.4,1.4,1.4,1,0
8957,PE,2603009,CABROBÓ,NOVO MURICI - APAC,8.16,20/11/25 06:50,-,-,-,-,-,-,-,-,1,0
6471,PE,2603454,CAMARAGIBE,Bairro dos Estados,0,24/07/26 19:10,-,-,-,-,-,-,0.99,0.99,1,0
17201,PE,2602308,BONITO,G2-Colégio João XXIII - Alto do Bonito,0,24/07/26 20:10,-,-,-,0.2,6.4,57.2,64.4,71,1,0
6536,PE,2611606,RECIFE,San Martin,0,24/07/26 20:10,-,-,-,-,-,58.28,65.77,79.19,1,0
17206,PE,2606408,GRAVATÁ,G2-Uruçu-Mirim,0,24/07/26 20:10,-,-,-,-,5.2,60.6,75.4,80.8,1,0
8947,PE,2601409,BARREIROS,BARREIROS - APAC,0.2,19/01/22 20:20,-,-,-,-,-,-,-,-,1,0
18521,PE,2604007,CARPINA,G2-260400702A,0,24/07/26 20:10,-,-,-,-,0.2,36,41.4,65.8,1,0
9035,PE,2611606,RECIFE,RECIFE - APAC,0,18/12/25 17:00,-,-,-,-,-,-,-,-,1,0
17216,PE,2613107,SÃO CAITANO,G2-Creche Mary Cavalcante,0,24/07/26 20:10,-,-,-,0.2,2.6,29.4,30,30.2,1,0
18571,PE,2612604,SANTA MARIA DA BOA VISTA,G2-261260403A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
9070,PE,2616308,VICÊNCIA,VICENCIA - APAC,0,24/09/25 16:00,-,-,-,-,-,-,-,-,1,0
6489,PE,2606804,IGARASSU,Três Ladeiras,,,-,-,-,-,-,-,-,-,1,0
13639,PE,2603454,CAMARAGIBE,Convento Carmelo,0,24/07/26 20:10,-,-,-,-,-,60.4,70.6,89.4,10,0
6849,PE,2613701,SÃO LOURENÇO DA MATA,Rua dos Milagres,0,24/07/26 21:00,-,-,-,-,1,46.4,59.2,70,1,0
6474,PE,2603454,CAMARAGIBE,Aldeia,0,24/07/26 20:10,-,-,-,0.2,0.6,72.69,93.39,120.02,1,0
6493,PE,2607208,IPOJUCA,Centro,0,24/07/26 20:20,-,-,-,-,-,14.58,14.78,14.78,1,0
6466,PE,2602902,CABO DE SANTO AGOSTINHO,Enseado dos Corais,0,24/07/26 21:00,0.2,0.4,0.6,1.2,2.2,4.6,7,11.19,1,0
9849,PE,2611606,RECIFE,Brega e Chique,0,28/06/26 13:10,-,-,-,-,-,-,-,-,10,0
9016,PE,2610004,PALMARES,SANTO ANTÔNIO DOS PALMARES - APAC,0,24/07/26 20:10,-,-,-,-,3.55,107.5,117.16,121.7,1,0
6845,PE,2608404,JUREMA,Centro,0,24/07/26 21:00,-,-,-,0.2,1.2,15,15.2,15.4,1,0
7816,PE,2610905,PESQUEIRA,PESQUEIRA,0,24/07/26 20:00,-,-,-,-,0.2,18.4,18.6,18.6,5,0
18545,PE,2607653,ITAMBÉ,G2-260765305A,0,24/07/26 20:10,-,-,-,-,9.4,35.8,55.4,70.4,1,0
7818,PE,2611101,PETROLINA,PETROLINA,0,14/07/26 18:00,-,-,-,-,-,-,-,-,5,0
9032,PE,2611408,PRIMAVERA,PRIMAVERA - APAC,0,30/09/21 19:00,-,-,-,-,-,-,-,-,1,0
8963,PE,2603603,CAMUTANGA,CAMUTANGA - APAC,0,02/10/25 04:10,-,-,-,-,-,-,-,-,1,0
6463,PE,2601904,BEZERROS,Centro,0,24/07/26 21:00,-,-,-,-,1.22,43.59,44.99,45.19,1,0
9007,PE,2608909,LIMOEIRO,LIMOEIRO - APAC,0,24/02/26 16:10,-,-,-,-,-,-,-,-,1,0
18525,PE,2604908,CUMARU,G2-260490802A,0,24/07/26 20:10,-,-,-,-,0.2,58,60.2,65.4,1,0
8934,PE,2600054,ABREU E LIMA,ABREU E LIMA - APAC,0,18/02/26 16:00,-,-,-,-,-,-,-,-,1,0
8942,PE,2601003,ANGELIM,ANGELIM - APAC,0,01/10/25 23:50,-,-,-,-,-,-,-,-,1,0
17209,PE,2608206,JOAQUIM NABUCO,G2-Escola Camila Fraga,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
7768,PE,2600807,ALTINHO,ALTINHO,0.4,14/06/24 16:30,-,-,-,-,-,-,-,-,5,0
7819,PE,2611101,PETROLINA,PETROLINA 2,0,23/01/21 15:00,-,-,-,-,-,-,-,-,5,0
18582,PE,2614600,TABIRA,G2-261460002A,0,24/07/26 20:10,-,-,-,-,0.8,1.2,1.2,1.2,1,0
18557,PE,2610608,PAUDALHO,G2-261060803A,0,24/07/26 20:10,-,-,-,-,0.6,49.2,60,90.8,1,0
6508,PE,2609402,MORENO,Bonança,0,24/07/26 20:40,-,-,-,0.2,1.02,50.49,55.06,63.16,1,0
9841,PE,2607208,IPOJUCA,Vara da Justiça,0,24/07/26 20:10,-,-,-,-,-,66.2,86,86.4,10,0
17223,PE,2614105,SERTÂNIA,G2-CSU - Sertânia,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
18514,PE,2602803,BUÍQUE,G2-260280304A,0,24/07/26 20:10,-,-,-,0.2,2.8,15.8,15.8,15.8,1,0
18537,PE,2607604,ILHA DE ITAMARACÁ,G2-260760402A,0,24/07/26 20:10,-,-,-,-,1.8,17.8,36.2,44.6,1,0
18534,PE,2606309,GRANITO,G2-260630902A,0,24/07/26 20:10,-,-,-,-,-,0.4,0.4,0.4,1,0
17219,PE,2613909,SERRA TALHADA,G2-Varzinha,0,24/07/26 20:10,-,-,-,-,1.2,1.2,1.2,1.2,1,0
8985,PE,2606507,IATI,IATI - APAC,0,24/07/26 20:50,-,-,-,0.2,0.2,2.22,2.22,2.22,1,0
9017,PE,2610103,PALMEIRINA,PALMEIRINA - APAC,0,25/03/26 16:50,-,-,-,-,-,-,-,-,1,0
18584,PE,2614600,TABIRA,G2-261460003A,0,24/07/26 20:10,-,-,-,-,0.4,0.4,0.4,0.4,1,0
6543,PE,2613701,SÃO LOURENÇO DA MATA,Nossa Senhora da Luz,0.99,06/05/26 11:00,-,-,-,-,-,-,-,-,1,0
18543,PE,2607653,ITAMBÉ,G2-260765304A,0,24/07/26 20:10,-,-,-,-,10.6,35,57.4,73.8,1,0
8195,PE,2611101,PETROLINA,PETROLINA 3,0,24/07/26 16:00,-,-,-,-,-,-,-,-,5,0
18561,PE,2610806,PEDRA,G2-261080604A,0,24/07/26 20:10,-,-,-,-,3,23.4,23.4,23.6,1,0
14153,PE,2605608,FLORES,Flores [Rádio Florescer] - APAC,0,24/07/26 20:30,-,-,-,-,0.2,0.6,0.6,0.6,1,0
7811,PE,2609709,OROBÓ,OROBO,0,24/07/26 20:00,-,-,-,-,0.2,23.6,27.8,31,5,0
6479,PE,2604106,CARUARU,Gonçalves Ferreira,0,24/07/26 20:20,-,-,-,-,1.79,40.16,41.35,43.15,1,0
18497,PE,2600302,AGRESTINA,G2-260030204A,0,24/07/26 20:10,-,-,-,-,3.6,52,53.8,55.2,1,0
3006,PE,2611606,RECIFE,Dois Irmãos,0,24/07/26 19:10,-,-,-,-,-,0.2,11.43,11.63,1,0
18506,PE,2602001,BODOCÓ,G2-260200104A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
17210,PE,2608701,LAGOA DOS GATOS,G2-260870102A,0,24/07/26 20:10,-,-,-,-,4.6,25.8,28.6,29.8,1,0
9850,PE,2611606,RECIFE,Barreira,0,24/07/26 20:10,-,-,-,-,-,51.6,61.2,75.8,10,0
14146,PE,2601706,BELO JARDIM,15º BPM - Belo Jardim - APAC,0,04/03/26 14:20,-,-,-,-,-,-,-,-,1,0
17213,PE,2610905,PESQUEIRA,G2-Distrito de Mimoso,0,24/07/26 20:10,-,-,-,-,1.2,9.6,15,30,1,0
8196,PE,2612406,SANHARÓ,SANHARÓ,0,24/06/24 07:00,-,-,-,-,-,-,-,-,5,0
14144,PE,2600609,ALAGOINHA,Alagoinha [Garagem Municipal] - APAC,0,04/03/26 16:40,-,-,-,-,-,-,-,-,1,0
9021,PE,2610400,PARNAMIRIM,QUIXABA - APAC,0,24/07/26 20:20,-,-,-,-,-,-,-,-,1,0
18568,PE,2612554,SANTA FILOMENA,G2-261255402A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
18575,PE,2613008,SÃO BENTO DO UNA,G2-261300802A,0,24/07/26 20:10,-,-,-,-,1.2,16.4,17.2,20,1,0
14179,PE,2616183,VERTENTE DO LÉRIO,Vertente do Lério [EREN] - APAC,0,14/05/26 15:40,-,-,-,-,-,-,-,-,1,0
7798,PE,2606606,IBIMIRIM,IBIMIRIM,0,15/04/23 00:00,-,-,-,-,-,-,-,-,5,0
18535,PE,2606309,GRANITO,G2-260630904A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
3257,PE,2611606,RECIFE,Imbiribeira,0,24/07/26 20:40,-,-,-,-,-,23.26,26.81,34.13,1,0
7779,PE,2602605,BREJO DA MADRE DE DEUS,BREJO DA MADRE DE DEUS,16.6,06/08/24 20:20,-,-,-,-,-,-,-,-,5,0
7838,PE,2615003,TAQUARITINGA DO NORTE,TAQUARITINGA DO NORTE,0,24/07/26 20:00,-,-,-,-,-,-,-,-,5,0
6492,PE,2606804,IGARASSU,Cruz de Rebouças2,0,24/07/26 20:20,-,-,-,0.2,0.2,36.21,56.29,64.38,1,0
7781,PE,2603207,CAETÉS,CAETES,0.2,13/03/25 04:50,-,-,-,-,-,-,-,-,5,0
7794,PE,2606002,GARANHUNS,GARANHUNS,0,03/09/25 12:00,-,-,-,-,-,-,-,-,5,0
7810,PE,2609303,MIRANDIBA,MIRANDIBA,0,18/05/26 12:00,-,-,-,-,-,-,-,-,5,0
14164,PE,2609303,MIRANDIBA,Mirandiba [Creche] - APAC,0,24/07/26 20:20,-,-,-,-,1.99,1.99,1.99,1.99,1,0
3253,PE,2611606,RECIFE,Nova Descoberta,0,24/07/26 20:20,-,-,-,-,-,81.9,100.04,118.29,1,0
3009,PE,2610707,PAULISTA,Paratibe,,,-,-,-,-,-,-,-,-,1,0
7826,PE,2612604,SANTA MARIA DA BOA VISTA,SANTA MARIA DA BOA VISTA,0,04/04/26 09:00,-,-,-,-,-,-,-,-,5,0
7840,PE,2615607,TRINDADE,TRINDADE,0,16/04/25 05:00,-,-,-,-,-,-,-,-,4,0
8946,PE,2601300,BARRA DE GUABIRABA,BARRA DE GUABIRABA - APAC,0,27/07/23 18:30,-,-,-,-,-,-,-,-,1,0
17224,PE,2614709,TACAIMBÓ,G2-Prefeitura,0,24/07/26 20:10,-,-,-,-,1.4,14.8,15.6,15.6,1,0
8961,PE,2603405,CALUMBI,CALUMBI - APAC,0,11/07/26 03:00,-,-,-,-,-,-,-,-,1,0
6499,PE,2607901,JABOATÃO DOS GUARARAPES,Piedade,0,06/07/26 00:10,-,-,-,-,-,-,-,-,1,0
17208,PE,2606408,GRAVATÁ,G2-Janelas para o Rio,0,24/07/26 20:10,-,-,-,-,-,35.2,39.4,42,1,0
6468,PE,2603009,CABROBÓ,BR428-km05,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
14151,PE,2604304,CEDRO,Cedro [Compesa] - APAC,0,02/05/26 03:30,-,-,-,-,-,-,-,-,1,0
9842,PE,2602902,CABO DE SANTO AGOSTINHO,Pirapama,0,09/07/26 12:20,-,-,-,-,-,-,-,-,10,0
18513,PE,2602803,BUÍQUE,G2-260280305A,0,24/07/26 20:10,-,-,-,-,1.8,14,14,14,1,0
7772,PE,2601706,BELO JARDIM,BELO JARDIM,0.2,10/06/25 06:10,-,-,-,-,-,-,-,-,5,0
18590,PE,2615300,TIMBAÚBA,G2-261530005A,0,24/07/26 20:10,-,-,-,-,5,28.4,40,51,1,0
9001,PE,2608255,JUCATI,JUCATI - APAC,0,24/07/26 21:00,-,-,-,0.2,0.8,4.99,4.99,4.99,1,0
