idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
3751,RJ,3305752,TANGUÁ,Centro,0,24/07/26 20:40,-,0.4,0.6,0.6,0.6,0.6,0.6,0.6,1,0
3715,RJ,3302700,MARICÁ,Guaratiba,0,24/07/26 11:50,-,-,-,-,-,-,-,-,1,0
7558,RJ,3302270,JAPERI,Parque Gandu,0,24/07/26 16:50,-,-,-,-,-,-,-,-,1,0
3748,RJ,3305554,SEROPÉDICA,Dom Bosco,0.2,18/04/25 10:50,-,-,-,-,-,-,-,-,1,0
9659,RJ,3306206,VASSOURAS,Centro,0.2,24/07/26 20:40,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0
3409,RJ,3305406,SAPUCAIA,Secretaria de Transportes,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
13817,RJ,3303906,PETRÓPOLIS,Bingen - Geo,0,24/07/26 20:10,-,-,-,-,-,-,-,-,10,0
3332,RJ,3305158,SÃO JOSÉ DO VALE DO RIO PRETO,Centro,0,24/07/26 20:20,-,-,-,-,-,-,-,-,1,0
3431,RJ,3300100,ANGRA DOS REIS,Monsuaba,0,24/07/26 20:40,-,0.39,0.99,1.79,8.7,8.7,8.7,8.7,1,0
13751,RJ,3300100,ANGRA DOS REIS,Fazenda Tanguá (U),0,10/11/24 00:10,-,-,-,-,-,-,-,-,10,0
3708,RJ,3302502,MAGÉ,Vila Nova,0,24/07/26 20:50,-,-,1.39,2.39,2.39,2.39,2.39,2.39,1,0
3423,RJ,3300100,ANGRA DOS REIS,Areal,0,24/07/26 20:50,-,-,-,1.6,6.73,6.73,6.73,6.73,1,0
9758,RJ,3304755,SÃO FRANCISCO DE ITABAPOANA,Barra de Itabapoana,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
7525,RJ,3300308,BARRA DO PIRAÍ,Defesa Civil,0.4,24/07/26 20:30,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,0
3280,RJ,3303401,NOVA FRIBURGO,Ponte da Saudade,0,15/01/26 14:10,-,-,-,-,-,-,-,-,1,0
3536,RJ,3303302,NITERÓI,Morro do Castro,0,24/07/26 21:00,-,-,0.99,0.99,1.19,1.19,1.19,1.19,1,0
3276,RJ,3303401,NOVA FRIBURGO,Olaria,0,24/07/26 21:00,-,-,-,-,-,-,-,-,1,0
3443,RJ,3300100,ANGRA DOS REIS,Praia de Bananal,0,24/07/26 21:00,-,-,0.2,0.6,1.2,1.2,1.2,1.2,1,0
7571,RJ,3303955,PINHEIRAL,Centro,0,24/07/26 21:00,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,0
3448,RJ,3300100,ANGRA DOS REIS,Ponta Leste,0,24/07/26 20:20,-,-,-,-,4.33,4.33,4.33,4.33,1,0
18802,RJ,3306156,VARRE-SAI,G2-330615603A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
7543,RJ,3301009,CAMPOS DOS GOYTACAZES,Morro do Coco,0,24/07/26 19:30,-,-,-,-,-,-,-,-,1,0
7600,RJ,3304557,RIO DE JANEIRO,Jacarepaguá,0,22/02/26 21:00,-,-,-,-,-,-,-,-,1,0
3450,RJ,3302601,MANGARATIBA,Muriqui,0,24/07/26 20:40,-,0.2,0.82,3.87,5.28,5.28,5.28,5.28,1,0
18786,RJ,3300936,CARAPEBUS,G2-330093603A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
3314,RJ,3303906,PETRÓPOLIS,CIEP Brizolão 281,0,16/03/25 05:10,-,-,-,-,-,-,-,-,1,0
3289,RJ,3303401,NOVA FRIBURGO,Centro - NF,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
3727,RJ,3303302,NITERÓI,Piratininga 1,0,24/07/26 20:10,-,-,0.6,0.6,0.6,0.6,0.6,0.6,1,0
9803,RJ,3302205,ITAPERUNA,Aeroporto,0,24/07/26 21:00,-,-,-,-,-,-,-,-,1,0
7544,RJ,3301009,CAMPOS DOS GOYTACAZES,Dores de Macabu,0,15/06/26 10:40,-,-,-,-,-,-,-,-,1,0
7594,RJ,3304557,RIO DE JANEIRO,Padre Miguel,0,24/07/26 20:20,-,-,-,-,-,-,-,-,1,0
7572,RJ,3304003,PIRAÍ,Arrozal,0,24/07/26 20:50,0.6,1,1,1,1,1,1,1,1,0
7623,RJ,3305554,SEROPÉDICA,Coletivo Santa Alice,0.2,24/07/26 17:50,-,-,1,1,1.6,1.6,1.6,1.6,1,0
3428,RJ,3300100,ANGRA DOS REIS,Vila Histórica,0,24/07/26 20:20,-,-,0.4,3.96,4.55,4.55,4.55,4.55,1,0
9747,RJ,3300407,BARRA MANSA,Vila Maria,0,24/07/26 20:30,0.2,0.8,1,1,1,1,1,1,1,0
3342,RJ,3305802,TERESÓPOLIS,Vieira,0,24/07/26 20:20,-,-,-,-,-,-,-,-,1,0
18788,RJ,3301306,CASIMIRO DE ABREU,G2-330130601A,0,24/07/26 20:10,-,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,0
3532,RJ,3301702,DUQUE DE CAXIAS,Xerem3,0,14/02/25 17:20,-,-,-,-,-,-,-,-,1,0
9755,RJ,3303856,PATY DO ALFERES,Avelar,0,04/10/24 14:10,-,-,-,-,-,-,-,-,1,0
3406,RJ,3305406,SAPUCAIA,BR116-km14,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
3271,RJ,3301603,DUAS BARRAS,EMATER,0,24/07/26 20:50,-,-,-,-,-,-,-,-,1,0
7559,RJ,3302270,JAPERI,E.M Teofilo Cunha,0,23/07/26 18:00,-,-,-,-,-,-,-,-,1,0
3339,RJ,3305802,TERESÓPOLIS,Fonte Santa,0,05/07/26 22:30,-,-,-,-,-,-,-,-,1,0
3710,RJ,3302502,MAGÉ,Santo Aleixo,0,02/05/26 21:10,-,-,-,-,-,-,-,-,1,0
7615,RJ,3304557,RIO DE JANEIRO,Ilha de Paquetá,0,26/03/24 18:50,-,-,-,-,-,-,-,-,1,0
3300,RJ,3303708,PARAÍBA DO SUL,Jatobá,0.2,19/04/26 07:20,-,-,-,-,-,-,-,-,1,0
6581,RJ,3304144,QUEIMADOS,Rio Queimados,0,09/05/23 12:00,-,-,-,-,-,-,-,-,3,0
13819,RJ,3305802,TERESÓPOLIS,Quinta do Paraíso,0,24/07/26 20:10,-,-,-,-,-,-,-,-,10,0
3268,RJ,3300803,CACHOEIRAS DE MACACU,Japiúba,0.2,21/04/26 08:20,-,-,-,-,-,-,-,-,1,0
3425,RJ,3300100,ANGRA DOS REIS,Parque Pereque,0,24/07/26 21:00,-,-,-,2.57,3.97,3.97,3.97,3.97,1,0
3430,RJ,3300100,ANGRA DOS REIS,Praia da Chacara,0,24/07/26 20:30,-,-,-,1,4.77,4.77,4.77,4.77,1,0
3293,RJ,3303401,NOVA FRIBURGO,São Pedro da Serra,0,24/07/26 20:20,-,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0
13916,RJ,3303401,NOVA FRIBURGO,Parada Folly - GEO,0,24/07/26 20:10,-,-,-,-,-,-,-,0.2,10,0
3703,RJ,3302270,JAPERI,Centro,0.2,24/07/26 02:30,-,-,-,-,0.6,0.8,0.8,0.8,1,0
7534,RJ,3300456,BELFORD ROXO,Vila Pauline,0,24/07/26 20:20,-,-,-,-,-,-,-,-,1,0
3743,RJ,3304904,SÃO GONÇALO,Fazenda dos Mineiros,0,23/07/26 18:20,-,-,-,-,-,-,-,-,1,0
