idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
17240,SE,2803609,LARANJEIRAS,G2-280360903A,0.2,17/07/26 10:10,-,-,-,-,-,-,-,-,1,0
8223,SE,2804003,MARUIM,Centro,0,24/07/26 20:10,-,-,-,-,-,-,0.6,0.6,1,0
7110,SE,2806008,RIBEIRÓPOLIS,RIBEIROPOLIS,0,28/12/24 04:00,-,-,-,-,-,-,-,-,5,0
18342,SE,2801207,CANINDÉ DE SÃO FRANCISCO,G2-280120703A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
18353,SE,2805703,PROPRIÁ,G2-280570302A,0,24/07/26 20:10,-,-,-,-,-,0.2,1,1.6,1,0
8221,SE,2800308,ARACAJU,J. Barbosa,0,24/07/26 21:10,-,-,-,-,-,-,4,4,1,0
18341,SE,2801207,CANINDÉ DE SÃO FRANCISCO,G2-280120701A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
7098,SE,2800209,AQUIDABÃ,AQUIDABA,0,24/07/26 20:00,-,-,-,-,-,-,-,0.4,5,0
7102,SE,2802403,GARARU,GARARU,2,13/03/23 17:10,-,-,-,-,-,-,-,-,5,0
18352,SE,2805703,PROPRIÁ,G2-280570303A,0,24/07/26 20:10,-,-,-,-,-,0.4,1.4,3.2,1,0
18355,SE,2805901,RIACHUELO,G2-280590103A,0,24/07/26 20:10,-,-,-,-,-,2.4,3,4.4,1,0
7103,SE,2803104,ITABI,ITABI,0,25/10/22 23:00,-,-,-,-,-,-,-,-,5,0
18363,SE,2807402,TOBIAS BARRETO,G2-280740201A,0,24/07/26 20:10,-,-,-,-,-,1,1,1.4,1,0
17241,SE,2806701,SÃO CRISTÓVÃO,G2-280670102A,0,24/07/26 20:10,-,-,-,-,0.2,0.2,0.4,0.4,1,0
7108,SE,2805604,PORTO DA FOLHA,PORTO DA FOLHA,0.2,15/10/24 19:30,-,-,-,-,-,-,-,-,5,0
7106,SE,2805406,POÇO REDONDO,POCO REDONDO,0,24/07/26 21:00,-,-,-,-,-,-,0.4,0.4,4,0
18351,SE,2804805,NOSSA SENHORA DO SOCORRO,G2-280480501A,0,24/07/26 20:10,-,-,-,-,-,0.4,2.4,2.4,1,0
18360,SE,2807105,SIMÃO DIAS,G2-280710501A,0,24/07/26 20:10,-,-,-,-,-,2.2,3.8,6.8,1,0
17239,SE,2803609,LARANJEIRAS,G2-280360902A,0,24/07/26 20:10,-,-,-,-,-,-,-,-,1,0
17234,SE,2802908,ITABAIANA,G2-280290804A,0.2,24/07/26 20:10,0.2,0.2,0.2,0.4,2.8,3,3.2,3.2,1,0
7100,SE,2801405,CARIRA,CARIRA,0,02/07/24 18:00,-,-,-,-,-,-,-,-,5,0
17231,SE,2802106,ESTÂNCIA,G2-280210603A,0.2,24/07/26 08:50,-,-,-,-,0.2,8.6,12.4,12.6,1,0
18362,SE,2807402,TOBIAS BARRETO,G2-280740202A,0,24/07/26 20:10,-,-,-,-,-,3.6,3.6,4.4,1,0
17243,SE,2806701,SÃO CRISTÓVÃO,G2-280670101A,0,12/06/26 02:10,-,-,-,-,-,-,-,-,1,0
17236,SE,2802908,ITABAIANA,G2-280290801A,0,24/07/26 20:10,-,-,-,-,-,0.6,2.8,6,1,0
18354,SE,2805703,PROPRIÁ,G2-280570301A,0,24/07/26 20:10,-,-,-,-,-,0.4,1.2,2,1,0
18339,SE,2800704,BREJO GRANDE,G2-280070402A,0,24/07/26 20:10,-,-,-,-,-,1.8,2.2,3.8,1,0
17237,SE,2802908,ITABAIANA,G2-280290802A,0,24/07/26 20:10,-,-,-,-,-,1.8,2.6,3,1,0
18361,SE,2807402,TOBIAS BARRETO,G2-280740203A,0,24/07/26 20:10,-,-,-,-,-,0.4,0.4,1,1,0
18346,SE,2804201,MONTE ALEGRE DE SERGIPE,G2-280420103A,0,24/07/26 20:10,-,-,-,-,-,-,-,0.2,1,0
18350,SE,2804805,NOSSA SENHORA DO SOCORRO,G2-280480502A,0,24/07/26 20:10,-,-,-,-,-,0.2,0.4,2.4,1,0
17233,SE,2802106,ESTÂNCIA,G2-280210601A,0,16/05/26 13:10,-,-,-,-,-,-,-,-,1,0
17232,SE,2802106,ESTÂNCIA,G2-280210602A,0,24/07/26 20:10,-,-,-,-,-,14,22.8,29,1,0
