idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
13671,SP,3548708,SÃO BERNARDO DO CAMPO,Brazilia Tondi de Lima,0,01/11/25 06:10,-,-,-,-,-,-,-,-,10,0
8686,SP,3508603,CACHOEIRA PAULISTA,LIM/INPE (TESTES),0,15/01/25 14:10,-,-,-,-,-,-,-,-,3,0
7242,SP,3522307,ITAPETININGA,Conceição,0,24/07/26 20:40,-,-,-,-,-,1,1,1,1,0
13654,SP,3513801,DIADEMA,Elias Costa,0,30/04/23 01:10,-,-,-,-,-,-,-,-,10,0
4106,SP,3548708,SÃO BERNARDO DO CAMPO,Jardim Leblon,0,24/07/26 20:40,-,-,-,-,-,1.79,1.79,1.79,1,0
3894,SP,3548500,SANTOS,Morro de São Bento,0,04/09/23 07:50,-,-,-,-,-,-,-,-,1,0
6329,SP,3525508,JOANÓPOLIS,Sabia Uma,0,24/07/26 20:20,-,1.22,2.79,2.99,2.99,2.99,2.99,2.99,1,0
6332,SP,3538600,PIRACAIA,Garagem da PM,0,07/02/26 14:00,-,-,-,-,-,-,-,-,1,0
3510,SP,3555406,UBATUBA,Figueira,0,04/04/26 23:50,-,-,-,-,-,-,-,-,1,0
3580,SP,3550308,SÃO PAULO,Subprefeitura de Itaquera,0,24/07/26 20:30,-,-,-,-,-,0.6,0.6,0.6,1,0
4167,SP,3518701,GUARUJÁ,Cachoeira,0.2,15/03/24 03:20,-,-,-,-,-,-,-,-,1,0
7280,SP,3552403,SUMARÉ,Nova Veneza,0,24/07/26 21:00,-,1.4,4.6,6,8.4,8.4,8.4,8.4,1,0
3807,SP,3550308,SÃO PAULO,CEU São Rafael,0,09/05/25 16:10,-,-,-,-,-,-,-,-,1,0
4169,SP,3518701,GUARUJÁ,Jardim Helena Maria,0,24/07/26 20:50,-,-,-,-,-,-,-,-,1,0
