codigo_ibge,ano,classe_uso,area_ha
2603603,1985,Corpo d'água,47.171
2603603,1985,Vegetação / Floresta,1842.733
2603603,1985,Área Urbana,46.109
2603603,1995,Corpo d'água,45.487
2603603,1995,Vegetação / Floresta,1531.608
2603603,1995,Área Urbana,61.892
2603603,2005,Corpo d'água,49.033
2603603,2005,Vegetação / Floresta,1895.672
2603603,2005,Área Urbana,86.631
2603603,2015,Corpo d'água,40.078
2603603,2015,Vegetação / Floresta,1740.861
2603603,2015,Área Urbana,103.567
2603603,2020,Corpo d'água,43.181
2603603,2020,Vegetação / Floresta,1609.281
2603603,2020,Área Urbana,114.385
2603603,2024,Corpo d'água,43.713
2603603,2024,Vegetação / Floresta,1570.268
2603603,2024,Área Urbana,118.907
2607604,1985,Corpo d'água,986.832
2607604,1985,Vegetação / Floresta,2030.827
2607604,1985,Área Urbana,290.964
2607604,1995,Corpo d'água,935.972
2607604,1995,Vegetação / Floresta,2257.372
2607604,1995,Área Urbana,562.969
2607604,2005,Corpo d'água,878.824
2607604,2005,Vegetação / Floresta,2535.935
2607604,2005,Área Urbana,723.07
2607604,2015,Corpo d'água,806.259
2607604,2015,Vegetação / Floresta,2773.829
2607604,2015,Área Urbana,824.516
2607604,2020,Corpo d'água,804.843
2607604,2020,Vegetação / Floresta,2777.465
2607604,2020,Área Urbana,929.509
2607604,2024,Corpo d'água,841.259
2607604,2024,Vegetação / Floresta,2962.902
2607604,2024,Área Urbana,953.874
2611606,1985,Corpo d'água,1127.237
2611606,1985,Vegetação / Floresta,2785.142
2611606,1985,Área Urbana,9873.2
2611606,1995,Corpo d'água,1020.556
2611606,1995,Vegetação / Floresta,3559.022
2611606,1995,Área Urbana,11541.925
2611606,2005,Corpo d'água,888.728
2611606,2005,Vegetação / Floresta,4409.204
2611606,2005,Área Urbana,11856.783
2611606,2015,Corpo d'água,744.234
2611606,2015,Vegetação / Floresta,5107.769
2611606,2015,Área Urbana,12128.961
2611606,2020,Corpo d'água,731.574
2611606,2020,Vegetação / Floresta,5270.087
2611606,2020,Área Urbana,12392.832
2611606,2024,Corpo d'água,738.835
2611606,2024,Vegetação / Floresta,5455.164
2611606,2024,Área Urbana,12464.465
2800308,1985,Corpo d'água,3507.452
2800308,1985,Vegetação / Floresta,1425.138
2800308,1985,Área Urbana,5748.095
2800308,1995,Corpo d'água,3183.371
2800308,1995,Vegetação / Floresta,1600.063
2800308,1995,Área Urbana,7034.18
2800308,2005,Corpo d'água,3079.12
2800308,2005,Vegetação / Floresta,1858.615
2800308,2005,Área Urbana,8306.677
2800308,2015,Corpo d'água,2759.19
2800308,2015,Vegetação / Floresta,2044.508
2800308,2015,Área Urbana,9061.107
2800308,2020,Corpo d'água,2667.025
2800308,2020,Vegetação / Floresta,2069.798
2800308,2020,Área Urbana,9385.491
2800308,2024,Corpo d'água,2777.275
2800308,2024,Vegetação / Floresta,2041.101
2800308,2024,Área Urbana,9599.8
2927408,1985,Corpo d'água,39872.007
2927408,1985,Vegetação / Floresta,6228.916
2927408,1985,Área Urbana,12057.567
2927408,1995,Corpo d'água,39685.736
2927408,1995,Vegetação / Floresta,5597.634
2927408,1995,Área Urbana,14859.982
2927408,2005,Corpo d'água,39453.561
2927408,2005,Vegetação / Floresta,5366.476
2927408,2005,Área Urbana,17190.046
2927408,2015,Corpo d'água,39309.932
2927408,2015,Vegetação / Floresta,4968.92
2927408,2015,Área Urbana,18634.253
2927408,2020,Corpo d'água,39247.926
2927408,2020,Vegetação / Floresta,4886.066
2927408,2020,Área Urbana,19106.887
2927408,2024,Corpo d'água,39318.338
2927408,2024,Vegetação / Floresta,4698.189
2927408,2024,Área Urbana,19479.668
3304557,1985,Corpo d'água,5232.887
3304557,1985,Vegetação / Floresta,26166.84
3304557,1985,Área Urbana,43988.433
3304557,1995,Corpo d'água,5445.783
3304557,1995,Vegetação / Floresta,27850.44
3304557,1995,Área Urbana,49380.506
3304557,2005,Corpo d'água,5492.733
3304557,2005,Vegetação / Floresta,29762.009
3304557,2005,Área Urbana,53941.059
3304557,2015,Corpo d'água,4640.939
3304557,2015,Vegetação / Floresta,30247.216
3304557,2015,Área Urbana,57922.135
3304557,2020,Corpo d'água,4507.173
3304557,2020,Vegetação / Floresta,30582.115
3304557,2020,Área Urbana,58986.826
3304557,2024,Corpo d'água,4438.9
3304557,2024,Vegetação / Floresta,30716.955
3304557,2024,Área Urbana,59634.486
3550308,1985,Corpo d'água,6856.779
3550308,1985,Vegetação / Floresta,41847.158
3550308,1985,Área Urbana,77549.59
3550308,1995,Corpo d'água,7362.132
3550308,1995,Vegetação / Floresta,40466.811
3550308,1995,Área Urbana,82854.262
3550308,2005,Corpo d'água,6927.323
3550308,2005,Vegetação / Floresta,40822.012
3550308,2005,Área Urbana,86244.475
3550308,2015,Corpo d'água,6975.098
3550308,2015,Vegetação / Floresta,41716.916
3550308,2015,Área Urbana,87936.191
3550308,2020,Corpo d'água,6971.681
3550308,2020,Vegetação / Floresta,41319.65
3550308,2020,Área Urbana,89312.621
3550308,2024,Corpo d'água,6822.377
3550308,2024,Vegetação / Floresta,41061.595
3550308,2024,Área Urbana,90518.606
5300108,1985,Corpo d'água,9826.881
5300108,1985,Vegetação / Floresta,326635.661
5300108,1985,Área Urbana,21106.478
5300108,1995,Corpo d'água,8940.217
